BTAI,NASDAQ,"BIOXCEL THERAPEUTICS, INC.",HEALTH CARE,MAJOR PHARMACEUTICALS
BCAC,NASDAQ,BISON CAPITAL ACQUISITION CORP.,FINANCE,BUSINESS SERVICES
BCACR,NASDAQ,BISON CAPITAL ACQUISITION CORP.,FINANCE,BUSINESS SERVICES
BCACU,NASDAQ,BISON CAPITAL ACQUISITION CORP.,FINANCE,BUSINESS SERVICES
BCACW,NASDAQ,BISON CAPITAL ACQUISITION CORP.,FINANCE,BUSINESS SERVICES
BJRI,NASDAQ,"BJ&#39;S RESTAURANTS, INC.",CONSUMER SERVICES,RESTAURANTS
BBOX,NASDAQ,BLACK BOX CORPORATION,TECHNOLOGY,COMPUTER COMMUNICATIONS EQUIPMENT
BRAC,NASDAQ,BLACK RIDGE ACQUISITION CORP.,FINANCE,BUSINESS SERVICES
BRACR,NASDAQ,BLACK RIDGE ACQUISITION CORP.,FINANCE,BUSINESS SERVICES
BRACU,NASDAQ,BLACK RIDGE ACQUISITION CORP.,FINANCE,BUSINESS SERVICES
BRACW,NASDAQ,BLACK RIDGE ACQUISITION CORP.,FINANCE,BUSINESS SERVICES
BLKB,NASDAQ,"BLACKBAUD, INC.",TECHNOLOGY,COMPUTER SOFTWARE: PREPACKAGED SOFTWARE
HAWK,NASDAQ,"BLACKHAWK NETWORK HOLDINGS, INC.",FINANCE,FINANCE: CONSUMER SERVICES
BL,NASDAQ,"BLACKLINE, INC.",TECHNOLOGY,COMPUTER SOFTWARE: PREPACKAGED SOFTWARE
BKCC,NASDAQ,BLACKROCK CAPITAL INVESTMENT CORPORATION,N/A,N/A
ADRA,NASDAQ,BLDRS ASIA 50 ADR INDEX FUND,N/A,N/A
ADRD,NASDAQ,BLDRS DEVELOPED MARKETS 100 ADR INDEX FUND,N/A,N/A
ADRE,NASDAQ,BLDRS EMERGING MARKETS 50 ADR INDEX FUND,N/A,N/A
ADRU,NASDAQ,BLDRS EUROPE 100 ADR INDEX FUND,N/A,N/A
BLNK,NASDAQ,BLINK CHARGING CO.,CONSUMER DURABLES,ELECTRICAL PRODUCTS
BLNKW,NASDAQ,BLINK CHARGING CO.,CONSUMER DURABLES,ELECTRICAL PRODUCTS
BLMN,NASDAQ,"BLOOMIN&#39; BRANDS, INC.",CONSUMER SERVICES,RESTAURANTS
BCOR,NASDAQ,"BLUCORA, INC.",FINANCE,FINANCE: CONSUMER SERVICES
BLBD,NASDAQ,BLUE BIRD CORPORATION,CAPITAL GOODS,CONSTRUCTION/AG EQUIPMENT/TRUCKS
BHBK,NASDAQ,"BLUE HILLS BANCORP, INC.",FINANCE,MAJOR BANKS
BLUE,NASDAQ,"BLUEBIRD BIO, INC.",HEALTH CARE,BIOTECHNOLOGY: BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
BKEP,NASDAQ,"BLUEKNIGHT ENERGY PARTNERS L.P., L.L.C.",ENERGY,NATURAL GAS DISTRIBUTION
BKEPP,NASDAQ,"BLUEKNIGHT ENERGY PARTNERS L.P., L.L.C.",ENERGY,NATURAL GAS DISTRIBUTION
BPMC,NASDAQ,BLUEPRINT MEDICINES CORPORATION,HEALTH CARE,MAJOR PHARMACEUTICALS
ITEQ,NASDAQ,BLUESTAR ISRAEL TECHNOLOGY ETF,N/A,N/A
BMCH,NASDAQ,"BMC STOCK HOLDINGS, INC.",CONSUMER SERVICES,RETAIL: BUILDING MATERIALS
BOFI,NASDAQ,"BOFI HOLDING, INC.",FINANCE,SAVINGS INSTITUTIONS
